GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
144,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 6,6,14,Shakespeare,As You Like It,,Focus: exile & freedom; Arden philosophy; Jaques; resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
145,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 6,6,15,Shakespeare,Twelfth Night,,Focus: identity & desire; Malvolio subplot; endings & recognition (Read whole; then re-read these anchors),Desire; Love; Emotion; Fate; Good and Evil; Justice; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Love; Emotion; Fate; Good and Evil; Justice,Tyranny and Despotism; War and Peace
146,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,16,Spinoza,Ethics,Part I,Part I (Revisit these as anchors after reading the whole work),God; Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Art,Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will
147,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,17,Milton,Samson Agonistes,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Religion; Sin; Government; Law; Liberty; Poetry; Truth; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law; Liberty; God,Religion; Sin; Poetry; Truth
148,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,18,Pascal,The Provincial Letters,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Chance; Infinity; Reasoning; Theology; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Chance; Infinity,Religion; Reasoning; Theology; Truth; Will
149,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,19,Locke,An Essay Concerning Human Understanding,Book IV,Book IV (Revisit these as anchors after reading the whole work),Constitution; Experience; Government; Justice; Knowledge; Law; Liberty; Reasoning,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Constitution; Experience; Government; Justice; Knowledge; Law; Liberty,Reasoning
150,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,20,Gibbon,The Decline and Fall of the Roman Empire,Ch. 1-5; General Observations...,Ch. 1-5; General Observations... (Revisit these as anchors after reading the whole work),Cause; Government; History; Religion; Revolution; State; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Government; History,Religion; Revolution; State; War and Peace
151,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 6,6,21,Kant,Critique of Pure Reason,Transcendental Dialectic,Transcendental Dialectic (Revisit these as anchors after reading the whole work),Knowledge; Reasoning; Experience; Judgment; Metaphysics; Mind; Truth; Duty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Experience; Judgment; Duty,Reasoning; Metaphysics; Mind; Truth
152,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,22,Hegel,Philosophy of History,Introduction,Introduction (Revisit these as anchors after reading the whole work),Government; History; Knowledge; Philosophy; Truth; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; History; Knowledge,Philosophy; Truth; War and Peace
153,Core (1952),core title,Yes,Yes,,Yes,Year 6,6,23,Tolstoy,War and Peace,Book IX-XV; Epilogues,Book IX-XV; Epilogues (Revisit these as anchors after reading the whole work),Courage; Honor; War and Peace; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Honor,War and Peace; Truth
154,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 6,6,24,Kierkegaard,Fear and Trembling,,Focus: Abraham/Isaac; faith vs ethics; knight of faith; paradox (Read whole; then re-read these anchors),Duty; God; Love; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; God; Love,Truth; Will
155,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 6,6,25,Huizinga,The Waning of the Middle Ages,I-X,I-X (Revisit these as anchors after reading the whole work),Art; Custom and Convention; History; Religion; World,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; History,Religion; World
156,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 6,6,26,Shaw,Saint Joan,,Focus: trial scenes; voices/conscience; politics of sainthood; epilogue (Read whole; then re-read these anchors),Science; Hypothesis; Induction; Physics,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Induction,Science; Physics
157,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 6,6,27,Racine,Bérénice,Focus: Acts I-II (conflict stated); Act IV (decision); Act V (resolution),Focus: Acts I-II (conflict stated); Act IV (decision); Act V (resolution) (Revisit these as anchors after reading the whole work),Government; Law; State; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,French classical tragedy near Pascal/Milton era,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Law,State; Truth
158,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 6,6,28,Racine,Phèdre,Focus: Acts I-II (desire/confession); Act III (crisis); Act V (catastrophe),Focus: Acts I-II (desire/confession); Act III (crisis); Act V (catastrophe) (Revisit these as anchors after reading the whole work),Desire; Love; Pleasure and Pain; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,French classical tragedy near Pascal/Milton era,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Love,Pleasure and Pain; Truth
159,Core (1952),implicit (Bible volumes in Great Books),Yes,Yes,,Yes,Year 7,7,1,Old Testament,Job,,Focus: speeches cycles; theodicy tension; God's whirlwind; restoration debate (Read whole; then re-read these anchors),God; Religion; Theology; Fate; Justice; Law; Life and Death; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Fate; Justice; Law; Life and Death; Love,Religion; Theology
160,Core (1952),implicit (Bible volumes in Great Books),Yes,Yes,,Yes,Year 7,7,2,Old Testament,Isaiah,,Focus: justice critique; servant songs; hope/vision sections (Read whole; then re-read these anchors),Justice; Law; Fate; God; Life and Death; Love; Prophecy; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Justice; Law; Fate; God; Life and Death; Love,Prophecy; Religion
161,Core (1952),implicit (Bible volumes in Great Books),Yes,Yes,,Yes,Year 7,7,3,Old Testament,Amos,,Focus: social justice oracles; religious hypocrisy critique (Read whole; then re-read these anchors),Justice; Law; Fate; God; Life and Death; Love; Prophecy; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Justice; Law; Fate; God; Life and Death; Love,Prophecy; Religion
162,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,4,Plato,Symposium,,Focus: ladder of love (Diotima); eros speeches; Alcibiades on Socrates (Read whole; then re-read these anchors),Beauty; Desire; Love; Form; Good and Evil; Soul; Dialectic; Education,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Beauty; Desire; Love; Form; Good and Evil; Dialectic; Education,Soul
163,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,5,Plato,Philebus,,Focus: pleasure vs intellect; measure; the good life composition (Read whole; then re-read these anchors),Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Dialectic; Education; Good and Evil; Government; Justice; Knowledge; Law; Love,
164,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,6,Aristotle,Nicomachean Ethics,Book VIII-X,Book VIII-X (Revisit these as anchors after reading the whole work),Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Happiness; Justice,Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice
165,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,7,Archimedes,Measurement of a Circle,,Focus: method; approximation; rigor vs intuition (Read whole; then re-read these anchors),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
166,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,8,Archimedes,The Equilibrium of Planes,Book I,Book I (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
167,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,9,Archimedes,The Sand-Reckoner,,Focus: scaling numbers; scientific imagination; cosmos sizing (Read whole; then re-read these anchors),Art; Memory and Imagination; Mind; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art,Memory and Imagination; Mind; Truth
168,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,10,Archimedes,On Floating Bodies,Book I,Book I (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
169,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,11,Epictetus,Discourses,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
170,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,12,Plotinus,First Ennead,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
171,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,13,St. Thomas Aquinas,Summa Theologica,"Part I-II, QQ 1-5","Part I-II, QQ 1-5 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
172,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,14,Dante,The Divine Comedy (Paradise),,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Beauty; Immortality; Love; Theology; Truth; Religion; Sin,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Beauty; Immortality; Love,Theology; Truth; Religion; Sin
173,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,15,Rabelais,Gargantua and Pantagruel,Book III-IV,Book III-IV (Revisit these as anchors after reading the whole work),Art; Custom and Convention; Education; Good and Evil; Happiness; Language,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Education; Good and Evil; Happiness; Language,
174,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,16,Shakespeare,Julius Caesar,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
175,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,17,Shakespeare,Antony and Cleopatra,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
176,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,18,Shakespeare,Coriolanus,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
177,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,19,Galileo,Two New Sciences,First Day,First Day (Revisit these as anchors after reading the whole work),Science; Hypothesis; Physics; Cause; Mathematics; Mechanics; Induction,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Hypothesis; Cause; Induction,Science; Physics; Mathematics; Mechanics
178,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,20,Spinoza,Ethics,Part IV-V,Part IV-V (Revisit these as anchors after reading the whole work),God; Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Art,Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will
179,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,21,Newton,Mathematical Principles of Natural Philosophy,"Book III, Rules; General Scholium (revisit)","Book III, Rules; General Scholium (revisit) (Revisit these as anchors after reading the whole work)",Cause; Mathematics; Mechanics; Physics; Science; Space; Time; Knowledge,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Knowledge,Mathematics; Mechanics; Physics; Science; Space; Time
180,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,22,Newton,Optics,"Book I, Part I; Book III, Queries","Book I, Part I; Book III, Queries (Revisit these as anchors after reading the whole work)",Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
181,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,23,Huygens,Treatise on Light,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
182,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,24,Kant,Critique of Practical Reason,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Reasoning; Duty; Judgment; Law; Liberty; Metaphysics; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Judgment; Law; Liberty,Reasoning; Metaphysics; Truth; Will
183,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 7,7,25,Kant,Critique of Judgment,Critique of Aesthetic Judgment,Critique of Aesthetic Judgment (Revisit these as anchors after reading the whole work),Duty; Judgment; Law; Liberty; Metaphysics; Reasoning; Truth; Will,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Judgment; Law; Liberty,Metaphysics; Reasoning; Truth; Will
184,Core (1952),core title,Yes,Yes,,Yes,Year 7,7,26,Mill,Utilitarianism,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Democracy; Government; Happiness; Justice; Law; Liberty; Virtue and Vice; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Democracy; Government; Happiness; Justice; Law; Liberty; God,Virtue and Vice
185,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 7,7,27,Weber,Essays in Sociology,Part III,Part III (Revisit these as anchors after reading the whole work),Custom and Convention; Government; Law; Religion; State; Art; Beauty; Form,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Custom and Convention; Government; Law; Art; Beauty; Form,Religion; State
186,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 7,7,28,Proust,Swann in Love,,"Focus: desire, jealousy, memory; social perception; narrative irony (Read whole; then re-read these anchors)",Desire; Love; Memory and Imagination; Mind; Time; Truth; Beauty; Experience,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Love; Beauty; Experience,Memory and Imagination; Mind; Time; Truth
187,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 7,7,29,Brecht,Mother Courage and Her Children,,Focus: scene-to-scene 'cost' of war; alienation effects; ending (Read whole; then re-read these anchors),War and Peace; Courage; Government; Honor; Justice; Labor; Tyranny and Despotism; Wealth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Government; Honor; Justice; Labor,War and Peace; Tyranny and Despotism; Wealth
188,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 8,8,1,Aristophanes,Thesmophoriazusae,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Art; Custom and Convention; Democracy; Desire; Education; Government; Rhetoric; God,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Democracy; Desire; Education; Government; God,Rhetoric
